index,logits,ee,Prediction,Category,Ligand,Boron_reagent,Substrate,family,fold,set
9.0,-7.295113563537598,2.25,0.0,0.0,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1C2,OB(O)c1ccccc1,CC(=O)/C=C/C(C)C,fam1,0,test
15.0,-4.200037002563477,15.0,0.0,0.0,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1C2,OB(O)c1ccccc1,CN1C(=O)C=CC1=O,fam1,0,test
27.0,-8.355240821838379,1.0,0.0,0.0,CC1(C)[C@@H]2C=C(c3ccccc3)[C@@]1(C)C=C2c1ccccc1,OB(O)c1ccc(-c2ccccc2)cc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam2,0,test
31.0,-6.888632774353027,1.75,0.0,0.0,CC1(C)[C@@H]2C=C(c3ccccc3)[C@@]1(C)C=C2c1ccccc1,OB(O)c1cccc2ccccc12,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam2,0,test
37.0,-0.624045193195343,11.0,0.0,0.0,CC(C)(C)c1ccc(C2=C[C@]3(C)C(c4ccc(C(C)(C)C)cc4)=C[C@H]2C3(C)C)cc1,OB(O)c1ccccc1,CC(=O)/C=C/C(C)C,fam2,0,test
45.0,3.373101234436035,97.5,1.0,1.0,CO[C@]1(C)C[C@@]2(C)C=C[C@@H]1C=C2c1c(C)cccc1C,O=[N+]([O-])c1cccc(B(O)O)c1,O=C1C=CCCC1,fam5,0,test
52.0,0.6801148653030396,97.5,1.0,1.0,CC(C)CC1=C[C@@H]2C[C@H]1C=C2CC(C)C,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test
53.0,0.8274464011192322,97.5,1.0,1.0,C1=C(C2CCCCC2)[C@@H]2C=C(C3CCCCC3)[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test
54.0,5.143664360046387,98.0,1.0,1.0,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test
77.0,-6.392457008361816,1.399999976158142,0.0,0.0,CC1(C)[C@@H]2C=C(c3cccc4ccccc34)[C@@]1(C)C=C2c1cccc2ccccc12,Cc1ccccc1B(O)O,CC(=O)/C=C/C1CCCC1,fam8,0,test
105.0,-3.332907199859619,5.0,0.0,0.0,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccccc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam1,0,test
107.0,-2.6831493377685547,7.0,0.0,0.0,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,COc1ccc(B(O)O)cc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam1,0,test
108.0,-3.6148109436035156,5.0,0.0,0.0,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccc(F)cc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam1,0,test
111.0,2.837028980255127,93.5,1.0,1.0,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,OB(O)c1ccccc1,O=C1C=CC(=O)N1C1CCCCC1,fam1,0,test
112.0,2.6992058753967285,96.0,1.0,1.0,Cc1cc(C)c(CC2=C[C@H]3C[C@@H]2C=C3Cc2c(C)cc(C)cc2C)c(C)c1,Cc1ccccc1B(O)O,O=C1C=CC(=O)N1C1CCCCC1,fam1,0,test
132.0,-5.9359965324401855,1.0,0.0,0.0,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccccc1,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,test
138.0,-2.5341153144836426,1.25,0.0,0.0,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,COc1ccc(B(O)O)cc1OC,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,test
139.0,-7.443669319152832,1.0,0.0,0.0,C1=C(c2ccccc2)[C@H]2C=C(c3ccccc3)[C@@H]1CC2,OB(O)c1ccc2ccccc2c1,O=C1C=CC2(OCCO2)c2ccccc21,fam3,0,test
