index,ee,Prediction,Ligand,Boron_reagent,Substrate,family,fold,set,error
9.0,2.25,3.363006114959717,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1C2,OB(O)c1ccccc1,CC(=O)/C=C/C(C)C,fam1,0,test,-1.1130061149597168
15.0,15.0,22.026599884033203,C1=C(Cc2ccccc2)[C@H]2C=C(Cc3ccccc3)[C@@H]1C2,OB(O)c1ccccc1,CN1C(=O)C=CC1=O,fam1,0,test,-7.026599884033203
27.0,1.0,5.552245616912842,CC1(C)[C@@H]2C=C(c3ccccc3)[C@@]1(C)C=C2c1ccccc1,OB(O)c1ccc(-c2ccccc2)cc1,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam2,0,test,-4.552245616912842
31.0,1.75,5.810473918914795,CC1(C)[C@@H]2C=C(c3ccccc3)[C@@]1(C)C=C2c1ccccc1,OB(O)c1cccc2ccccc12,CC(C)(C)OC(=O)/C=C/C(=O)OC(C)(C)C,fam2,0,test,-4.060473918914795
37.0,11.0,4.2860331535339355,CC(C)(C)c1ccc(C2=C[C@]3(C)C(c4ccc(C(C)(C)C)cc4)=C[C@H]2C3(C)C)cc1,OB(O)c1ccccc1,CC(=O)/C=C/C(C)C,fam2,0,test,6.7139668464660645
45.0,97.5,65.49229431152344,CO[C@]1(C)C[C@@]2(C)C=C[C@@H]1C=C2c1c(C)cccc1C,O=[N+]([O-])c1cccc(B(O)O)c1,O=C1C=CCCC1,fam5,0,test,32.00770568847656
52.0,97.5,97.24685668945312,CC(C)CC1=C[C@@H]2C[C@H]1C=C2CC(C)C,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test,0.253143310546875
53.0,97.5,97.66419219970703,C1=C(C2CCCCC2)[C@@H]2C=C(C3CCCCC3)[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test,-0.16419219970703125
54.0,98.0,97.7380599975586,C1=C(Cc2ccccc2)[C@@H]2C=C(Cc3ccccc3)[C@H]1C2,OB(O)c1ccccc1,O=C1C=CCCC1,fam1,0,test,0.26194000244140625
77.0,1.399999976158142,5.721646785736084,CC1(C)[C@@H]2C=C(c3cccc4ccccc34)[C@@]1(C)C=C2c1cccc2ccccc12,Cc1ccccc1B(O)O,CC(=O)/C=C/C1CCCC1,fam8,0,test,-4.321646809577942
